,pathway,sd,value,sample
0,BER_8oxoG_C,0.0016191253912217491,0.9503695881731784,U2OS_XPG_4h_BR3
1,BER_A_8oxoG,0.005335177289455691,0.7095705013119735,U2OS_XPG_4h_BR3
2,BER_Hx,0.003111930752454577,0.616831236940222,U2OS_XPG_4h_BR3
3,BER_UG,0.0002941342736498168,0.9980694113949625,U2OS_XPG_4h_BR3
4,DR_O6MeG,0.003368708350805441,0.6988945807495281,U2OS_XPG_4h_BR3
5,MMEJ,0.001991081399792721,0.03479409821625193,U2OS_XPG_4h_BR3
6,MMR,0.0026561747752023783,0.12084993359893759,U2OS_XPG_4h_BR3
7,NER,0.0010015605733433052,0.00902884827130588,U2OS_XPG_4h_BR3
8,NHEJ,0.04408233865855533,3.7306760625412902,U2OS_XPG_4h_BR3
9,BER_8oxoG_C,0.003493780839321819,0.8709152100749105,U2OSPatty_WT_1h_BR2
10,BER_A_8oxoG,0.009685329461694626,0.3429047024552643,U2OSPatty_WT_1h_BR2
11,BER_Hx,0.0029899513340624936,0.2537179547707851,U2OSPatty_WT_1h_BR2
12,BER_UG,0.00048281568187809895,0.9969037909681318,U2OSPatty_WT_1h_BR2
13,DR_O6MeG,0.004927974896154022,0.46105736343203363,U2OSPatty_WT_1h_BR2
14,MMEJ,0.0005200654012643692,0.0015589814654425776,U2OSPatty_WT_1h_BR2
15,MMR,0.0024345404685350014,0.050334738408132906,U2OSPatty_WT_1h_BR2
16,NER,0.005569381616859515,0.155032045730123,U2OSPatty_WT_1h_BR2
17,NHEJ,0.045642800901554564,3.003810843582193,U2OSPatty_WT_1h_BR2
18,BER_8oxoG_C,0.001756356830053371,0.9439617470406437,U2OS_XPG_4h_BR2
19,BER_A_8oxoG,0.005153891446123289,0.7304734925131525,U2OS_XPG_4h_BR2
20,BER_Hx,0.0031273437280817133,0.6012237405669998,U2OS_XPG_4h_BR2
21,BER_UG,0.00034576302457957364,0.9973406652844136,U2OS_XPG_4h_BR2
22,DR_O6MeG,0.003410587046840906,0.6953656929497035,U2OS_XPG_4h_BR2
23,MMEJ,0.002113904823338787,0.037131585054537015,U2OS_XPG_4h_BR2
24,MMR,0.0033668517888650203,0.182921280145609,U2OS_XPG_4h_BR2
25,NER,0.0010686597388022369,0.009747041076815966,U2OS_XPG_4h_BR2
26,NHEJ,0.04821162577801118,4.003481086098863,U2OS_XPG_4h_BR2
27,BER_8oxoG_C,0.00200742302870086,0.9481754817548176,TK6_PolQ_4h_BR2
28,BER_A_8oxoG,0.003235210462848581,0.8559545030133265,TK6_PolQ_4h_BR2
29,BER_Hx,0.003431237940742038,0.7669608747200632,TK6_PolQ_4h_BR2
30,BER_UG,0.0007226437880760012,0.9923574772789865,TK6_PolQ_4h_BR2
31,DR_O6MeG,0.0033293525893171648,0.1539901310192275,TK6_PolQ_4h_BR2
32,MMEJ,0.0010280744979847016,0.006948640483383686,TK6_PolQ_4h_BR2
33,MMR,0.0031667287759435743,0.07919703011137082,TK6_PolQ_4h_BR2
34,NER,0.004179529740002223,0.10468277945619335,TK6_PolQ_4h_BR2
35,NHEJ,0.040058601246665465,2.797432024169184,TK6_PolQ_4h_BR2
36,BER_8oxoG_C,0.004595114210987469,0.8267020335985853,HAP1_WT_1h_BR2
37,BER_A_8oxoG,0.00935849857538882,0.4801823921431077,HAP1_WT_1h_BR2
38,BER_Hx,0.004958668560783968,0.5504222553402881,HAP1_WT_1h_BR2
39,BER_UG,0.0006937434732320993,0.9945671535447097,HAP1_WT_1h_BR2
40,DR_O6MeG,0.005367309164079961,0.5724373308226433,HAP1_WT_1h_BR2
41,MMEJ,0.0,0.0,HAP1_WT_1h_BR2
42,MMR,0.008321806906913254,0.1484118291347207,HAP1_WT_1h_BR2
43,NER,0.001972461140928627,0.017918088737201365,HAP1_WT_1h_BR2
44,NHEJ,0.05039543001401095,2.986561433447099,HAP1_WT_1h_BR2
45,BER_8oxoG_C,0.004623824503889878,0.9019086735926553,TK6_WT_1h_BR2
46,BER_A_8oxoG,0.010192456986220235,0.5920034393809115,TK6_WT_1h_BR2
47,BER_Hx,0.005922043695939402,0.6004092370651856,TK6_WT_1h_BR2
48,BER_UG,0.001404363116446066,0.9876006441223832,TK6_WT_1h_BR2
49,DR_O6MeG,0.005142931378921352,0.1231635651322233,TK6_WT_1h_BR2
50,MMEJ,0.0003296522034832492,0.0003295978905735003,TK6_WT_1h_BR2
51,MMR,0.0034570012644538728,0.04818963271685335,TK6_WT_1h_BR2
52,NER,0.0024203762617542477,0.01746868820039552,TK6_WT_1h_BR2
53,NHEJ,0.03560146795397559,1.523731048121292,TK6_WT_1h_BR2
54,BER_8oxoG_C,0.0016075623813743508,0.9645149112872782,U2OS_WT_24h_BR3
55,BER_A_8oxoG,0.004404530610131016,0.7498448810754912,U2OS_WT_24h_BR3
56,BER_Hx,0.004298429733679138,0.8176973602676911,U2OS_WT_24h_BR3
57,BER_UG,0.00044118310204547184,0.9979762937265105,U2OS_WT_24h_BR3
58,DR_O6MeG,0.0011874968424356238,0.9690571361391959,U2OS_WT_24h_BR3
59,MMEJ,0.0012346376224932649,0.027559478953601033,U2OS_WT_24h_BR3
60,MMR,0.0020992229445900854,0.09199767895764098,U2OS_WT_24h_BR3
61,NER,0.0043293473574847995,0.27344170524276024,U2OS_WT_24h_BR3
62,NHEJ,0.006844958647259805,0.5585100656690709,U2OS_WT_24h_BR3
63,BER_8oxoG_C,0.0022564378985334673,0.921623907527488,U2OS_WT_2h_BR4
64,BER_A_8oxoG,0.006440351015965836,0.5377043710377044,U2OS_WT_2h_BR4
65,BER_Hx,0.00326604108461855,0.6421277385815076,U2OS_WT_2h_BR4
66,BER_UG,0.0003796162201153231,0.9970307632398754,U2OS_WT_2h_BR4
67,DR_O6MeG,0.0030186031558035887,0.7946727719454992,U2OS_WT_2h_BR4
68,MMEJ,0.00144427165061503,0.02578660988881003,U2OS_WT_2h_BR4
69,MMR,0.003020218441211834,0.11115214180206795,U2OS_WT_2h_BR4
70,NER,0.001737156858830178,0.036905606813342796,U2OS_WT_2h_BR4
71,NHEJ,0.02779273952995023,2.669426701364246,U2OS_WT_2h_BR4
72,BER_8oxoG_C,0.0015455255313228608,0.9581373191210624,U2OS_WT_24h_BR2
73,BER_A_8oxoG,0.003690300748890299,0.7992700729927007,U2OS_WT_24h_BR2
74,BER_Hx,0.004247895602959384,0.8096464528213533,U2OS_WT_24h_BR2
75,BER_UG,0.00043091539679510017,0.9975594874923734,U2OS_WT_24h_BR2
76,DR_O6MeG,0.000797067771051449,0.9795310519645121,U2OS_WT_24h_BR2
77,MMEJ,0.0010277361778598566,0.024846523975443836,U2OS_WT_24h_BR2
78,MMR,0.0016158846021490628,0.07356039998467492,U2OS_WT_24h_BR2
79,NER,0.003967391645668383,0.2933880869420939,U2OS_WT_24h_BR2
80,NHEJ,0.005708975608001115,0.5177119628339141,U2OS_WT_24h_BR2
81,BER_8oxoG_C,0.001727503603844794,0.9487840825350037,U2OS_MSH2_4h_BR3
82,BER_A_8oxoG,0.004571806070624415,0.7732745261652163,U2OS_MSH2_4h_BR3
83,BER_Hx,0.0031118500215116165,0.5983963252478041,U2OS_MSH2_4h_BR3
84,BER_UG,0.00032494869246390445,0.9979171958343916,U2OS_MSH2_4h_BR3
85,DR_O6MeG,0.0017576367747551822,0.939169460365524,U2OS_MSH2_4h_BR3
86,MMEJ,0.001905822782833933,0.031012154947177097,U2OS_MSH2_4h_BR3
87,MMR,0.00039645394961467407,0.0033224168209217333,U2OS_MSH2_4h_BR3
88,NER,0.004305470088756414,0.14279222992161764,U2OS_MSH2_4h_BR3
89,NHEJ,0.05219584040082553,4.422696807906395,U2OS_MSH2_4h_BR3
90,BER_8oxoG_C,0.0020441564352660308,0.9244763614602035,U2OSPatty_WT_2h_BR2
91,BER_A_8oxoG,0.005349595619695831,0.6860635047163545,U2OSPatty_WT_2h_BR2
92,BER_Hx,0.0030121010640071734,0.510873906255673,U2OSPatty_WT_2h_BR2
93,BER_UG,0.0003447229009094499,0.9975111281290384,U2OSPatty_WT_2h_BR2
94,DR_O6MeG,0.0035844764427559704,0.6603654694391935,U2OSPatty_WT_2h_BR2
95,MMEJ,0.001191091428494812,0.013694430250383239,U2OSPatty_WT_2h_BR2
96,MMR,0.002137023943977213,0.07223168654173764,U2OSPatty_WT_2h_BR2
97,NER,0.003431658855205556,0.10434338272866632,U2OSPatty_WT_2h_BR2
98,NHEJ,0.04303245586184505,3.7859989780275933,U2OSPatty_WT_2h_BR2
99,BER_8oxoG_C,0.0018420000623182015,0.9015597522746387,U2OSPatty_WT_2h_BR0
100,BER_A_8oxoG,0.003802114618604218,0.7237041856430275,U2OSPatty_WT_2h_BR0
101,BER_Hx,0.002402892298811707,0.5988799692352065,U2OSPatty_WT_2h_BR0
102,BER_UG,0.0003232594804130288,0.9955342452874536,U2OSPatty_WT_2h_BR0
103,DR_O6MeG,0.002722508219613622,0.638763972761146,U2OSPatty_WT_2h_BR0
104,MMEJ,0.000260293103627428,0.0012743588382095258,U2OSPatty_WT_2h_BR0
105,MMR,0.002685406473775178,0.11541178132504591,U2OSPatty_WT_2h_BR0
106,NER,0.0024541652310262102,0.10285137790049381,U2OSPatty_WT_2h_BR0
107,NHEJ,0.01997265320539239,2.286146657462964,U2OSPatty_WT_2h_BR0
108,BER_8oxoG_C,0.002175289881199881,0.9238582094571871,U2OS_UNG_2h_BR1
109,BER_A_8oxoG,0.0074477546016014,0.358881658230899,U2OS_UNG_2h_BR1
110,BER_Hx,0.0031507822370722724,0.5438575430172069,U2OS_UNG_2h_BR1
111,BER_UG,0.0011887126854029345,0.9686917629519195,U2OS_UNG_2h_BR1
112,DR_O6MeG,0.003131571184306498,0.7925912670007158,U2OS_UNG_2h_BR1
113,MMEJ,0.0026279278900156727,0.05770536320434488,U2OS_UNG_2h_BR1
114,MMR,0.001742052647851522,0.041965431353309685,U2OS_UNG_2h_BR1
115,NER,0.002657679395722333,0.0589499886852229,U2OS_UNG_2h_BR1
116,NHEJ,0.04496945200691419,3.757071735686807,U2OS_UNG_2h_BR1
117,BER_8oxoG_C,0.011643167409847763,0.8354679802955665,HAP1_MPG_2h_BR0
118,BER_A_8oxoG,0.019593490711530066,0.652027027027027,HAP1_MPG_2h_BR0
119,BER_Hx,0.00753950199640232,0.11349520045172219,HAP1_MPG_2h_BR0
120,BER_UG,0.0009818874224258706,0.998298355076574,HAP1_MPG_2h_BR0
121,DR_O6MeG,0.012594663299265287,0.8103092783505155,HAP1_MPG_2h_BR0
122,MMEJ,0.005470468410785108,0.017152658662092625,HAP1_MPG_2h_BR0
123,MMR,0.02211041530412195,0.2773722627737226,HAP1_MPG_2h_BR0
124,NER,0.011509642168093378,0.07204116638078903,HAP1_MPG_2h_BR0
125,NHEJ,0.08214412612691056,1.5454545454545454,HAP1_MPG_2h_BR0
126,BER_8oxoG_C,0.002457784252026091,0.9234449760765551,U2OS_WT_2h_BR2
127,BER_A_8oxoG,0.0076888038623188,0.5306122448979592,U2OS_WT_2h_BR2
128,BER_Hx,0.003644111478215824,0.549018556258715,U2OS_WT_2h_BR2
129,BER_UG,0.0003290253926145348,0.9982266250840824,U2OS_WT_2h_BR2
130,DR_O6MeG,0.003678441957708055,0.7601098167247904,U2OS_WT_2h_BR2
131,MMEJ,0.0020567705669555514,0.03603399433427762,U2OS_WT_2h_BR2
132,MMR,0.002742271464339715,0.09090081892629663,U2OS_WT_2h_BR2
133,NER,0.002126034551686338,0.03841359773371105,U2OS_WT_2h_BR2
134,NHEJ,0.03271997999065526,2.6141643059490085,U2OS_WT_2h_BR2
135,BER_8oxoG_C,0.0018494874304081173,0.9743800520619262,TK6_WT_24h_BR0
136,BER_A_8oxoG,0.002886155564735987,0.9086167118066004,TK6_WT_24h_BR0
137,BER_Hx,0.0038439604954468385,0.8571428571428571,TK6_WT_24h_BR0
138,BER_UG,0.0009165627267483596,0.9922472155492466,TK6_WT_24h_BR0
139,DR_O6MeG,0.004156353263118956,0.22119723252782514,TK6_WT_24h_BR0
140,MMEJ,0.0006099962078683467,0.0033905720223121514,TK6_WT_24h_BR0
141,MMR,0.004572270752265404,0.1613899613899614,TK6_WT_24h_BR0
142,NER,0.0076741153998073075,0.3879470633271355,TK6_WT_24h_BR0
143,NHEJ,0.010271520745786852,0.6020999671880127,TK6_WT_24h_BR0
144,BER_8oxoG_C,0.0011347841293441378,0.9382416996310947,U2OS_MSH2_4h_BR0
145,BER_A_8oxoG,0.0021712246781122545,0.812664499148475,U2OS_MSH2_4h_BR0
146,BER_Hx,0.0017806294553025343,0.7071079744645673,U2OS_MSH2_4h_BR0
147,BER_UG,0.00018249606323229444,0.9978229540367338,U2OS_MSH2_4h_BR0
148,DR_O6MeG,0.0010022943073706683,0.9413530824659728,U2OS_MSH2_4h_BR0
149,MMEJ,0.0005927229716359032,0.010965329276795334,U2OS_MSH2_4h_BR0
150,MMR,0.0001868496456722017,0.0018132016511708652,U2OS_MSH2_4h_BR0
151,NER,0.002155897501863332,0.129809215947265,U2OS_MSH2_4h_BR0
152,NHEJ,0.022210623071083135,3.476928440134373,U2OS_MSH2_4h_BR0
153,BER_8oxoG_C,0.0030263343203113424,0.8823788934968676,HAP1_MUTYH_2h_BR3
154,BER_A_8oxoG,0.004039223003542719,0.037037037037037035,HAP1_MUTYH_2h_BR3
155,BER_Hx,0.0034942481291892397,0.6971203885740719,HAP1_MUTYH_2h_BR3
156,BER_UG,0.000406753154748291,0.9973921892888945,HAP1_MUTYH_2h_BR3
157,DR_O6MeG,0.002454814287454251,0.9126360338573156,HAP1_MUTYH_2h_BR3
158,MMEJ,0.0008451648341032634,0.0032679738562091504,HAP1_MUTYH_2h_BR3
159,MMR,0.006754366040765313,0.2844016136261766,HAP1_MUTYH_2h_BR3
160,NER,0.004628494934485263,0.09019607843137255,HAP1_MUTYH_2h_BR3
161,NHEJ,0.05730392090375026,3.41437908496732,HAP1_MUTYH_2h_BR3
162,BER_8oxoG_C,0.003781528038682676,0.8403495683683258,HAP1_WT_2h_BR3
163,BER_A_8oxoG,0.005222991045023713,0.7429305912596401,HAP1_WT_2h_BR3
164,BER_Hx,0.003316300250470223,0.7890459830866807,HAP1_WT_2h_BR3
165,BER_UG,0.0007203733858281392,0.9921775757170556,HAP1_WT_2h_BR3
166,DR_O6MeG,0.0038305194210580314,0.7706482941811239,HAP1_WT_2h_BR3
167,MMEJ,0.0006961744086087894,0.0028662957342775247,HAP1_WT_2h_BR3
168,MMR,0.007227843999135595,0.207433290978399,HAP1_WT_2h_BR3
169,NER,0.0023287759991345667,0.031192041814196596,HAP1_WT_2h_BR3
170,NHEJ,0.04777062884708361,3.2127803068622494,HAP1_WT_2h_BR3
171,BER_8oxoG_C,0.002325083751381233,0.9735516372795969,TK6_WT_24h_BR2
172,BER_A_8oxoG,0.003399123981794258,0.8903882575757576,TK6_WT_24h_BR2
173,BER_Hx,0.005367506472714347,0.8586002372479241,TK6_WT_24h_BR2
174,BER_UG,0.0011501859188464865,0.9938957924569435,TK6_WT_24h_BR2
175,DR_O6MeG,0.004769192167259961,0.21268504685590112,TK6_WT_24h_BR2
176,MMEJ,0.0005922589773030641,0.002836354667653225,TK6_WT_24h_BR2
177,MMR,0.005870633348897188,0.17642874081100307,TK6_WT_24h_BR2
178,NER,0.0067468356532790425,0.2868417807374522,TK6_WT_24h_BR2
179,NHEJ,0.00851757620401374,0.41558761869527683,TK6_WT_24h_BR2
180,BER_8oxoG_C,0.005071113230098417,0.837200528202226,HAP1_WT_2h_BR2
181,BER_A_8oxoG,0.008522455739220294,0.656682769726248,HAP1_WT_2h_BR2
182,BER_Hx,0.00530989746030385,0.6681500317863954,HAP1_WT_2h_BR2
183,BER_UG,0.000864292439894762,0.9939318885448917,HAP1_WT_2h_BR2
184,DR_O6MeG,0.0060117451028108525,0.6833667334669339,HAP1_WT_2h_BR2
185,MMEJ,0.00029881965233180655,0.00029877502240812666,HAP1_WT_2h_BR2
186,MMR,0.010857779227987934,0.24246311738293777,HAP1_WT_2h_BR2
187,NER,0.0026517261537663413,0.023005676725425753,HAP1_WT_2h_BR2
188,NHEJ,0.052849823369235355,2.5981475948610697,HAP1_WT_2h_BR2
189,BER_8oxoG_C,0.012113751618961175,0.8240647118301314,HAP1_WT_1h_BR1
190,BER_A_8oxoG,0.023568242814108388,0.47555555555555556,HAP1_WT_1h_BR1
191,BER_Hx,0.011537419193462135,0.6389850057670127,HAP1_WT_1h_BR1
192,BER_UG,0.001727388681372502,0.9942558746736292,HAP1_WT_1h_BR1
193,DR_O6MeG,0.01325798892362785,0.7207678883071553,HAP1_WT_1h_BR1
194,MMEJ,0.0,0.0,HAP1_WT_1h_BR1
195,MMR,0.023252915874036918,0.23964497041420119,HAP1_WT_1h_BR1
196,NER,0.004823728104111659,0.015873015873015872,HAP1_WT_1h_BR1
197,NHEJ,0.09209715248412724,1.9754689754689754,HAP1_WT_1h_BR1
198,BER_8oxoG_C,0.002472802931973384,0.9170081144050776,U2OS_MGMT_2h_BR2
199,BER_A_8oxoG,0.006179491741603186,0.5842502357749135,U2OS_MGMT_2h_BR2
200,BER_Hx,0.0035651812335178983,0.5443504996156803,U2OS_MGMT_2h_BR2
201,BER_UG,0.0004144942042342693,0.9970944022770398,U2OS_MGMT_2h_BR2
202,DR_O6MeG,0.0033136989449584708,0.17075062034739455,U2OS_MGMT_2h_BR2
203,MMEJ,0.0016307093530981637,0.02029283329052145,U2OS_MGMT_2h_BR2
204,MMR,0.0026217859403519896,0.08261539856715334,U2OS_MGMT_2h_BR2
205,NER,0.0026613773857930966,0.05240174672489083,U2OS_MGMT_2h_BR2
206,NHEJ,0.04079323137300849,3.1340868225019265,U2OS_MGMT_2h_BR2
207,BER_8oxoG_C,0.003535463540163454,0.8932127882599581,U2OS_WT_1h_BR4
208,BER_A_8oxoG,0.008990160720395867,0.2655343827671914,U2OS_WT_1h_BR4
209,BER_Hx,0.004368359692469094,0.4924803420108405,U2OS_WT_1h_BR4
210,BER_UG,0.0005004280695704956,0.9970351545955104,U2OS_WT_1h_BR4
211,DR_O6MeG,0.005162691709245079,0.6272654736122193,U2OS_WT_1h_BR4
212,MMEJ,0.0006835049216714839,0.0032726237905520775,U2OS_WT_1h_BR4
213,MMR,0.003725137669007978,0.09348395546823837,U2OS_WT_1h_BR4
214,NER,0.0018831569297947514,0.024331246442800228,U2OS_WT_1h_BR4
215,NHEJ,0.02622364032083326,1.7545532157085941,U2OS_WT_1h_BR4
216,BER_8oxoG_C,0.0017177127227008936,0.9580671219798781,TK6_PolQ_4h_BR0
217,BER_A_8oxoG,0.002288604640725419,0.9022203752077891,TK6_PolQ_4h_BR0
218,BER_Hx,0.002995689380493807,0.792640314479144,TK6_PolQ_4h_BR0
219,BER_UG,0.0008939996690954215,0.9835256979382461,TK6_PolQ_4h_BR0
220,DR_O6MeG,0.002755350213824033,0.13184772516248838,TK6_PolQ_4h_BR0
221,MMEJ,0.0006010925155294641,0.0028785982478097623,TK6_PolQ_4h_BR0
222,MMR,0.004984143675303277,0.18172707532988142,TK6_PolQ_4h_BR0
223,NER,0.004678158612950629,0.15181476846057573,TK6_PolQ_4h_BR0
