,metric,reporter,count,sample
0,A,GFP_BAR_003,1,U2OS_XPG_4h_BR3
1,C,GFP_BAR_003,13240,U2OS_XPG_4h_BR3
2,G,GFP_BAR_003,1820,U2OS_XPG_4h_BR3
3,T,GFP_BAR_003,3,U2OS_XPG_4h_BR3
4,del,GFP_BAR_003,2,U2OS_XPG_4h_BR3
5,del_mh,GFP_BAR_003,0,U2OS_XPG_4h_BR3
6,del_nomh,GFP_BAR_003,2,U2OS_XPG_4h_BR3
7,ins,GFP_BAR_003,0,U2OS_XPG_4h_BR3
8,repaired,GFP_BAR_003,1820,U2OS_XPG_4h_BR3
9,total,GFP_BAR_003,15066,U2OS_XPG_4h_BR3
10,unrepaired,GFP_BAR_003,13240,U2OS_XPG_4h_BR3
11,A,GFP_BAR_004,0,U2OS_XPG_4h_BR3
12,C,GFP_BAR_004,0,U2OS_XPG_4h_BR3
13,G,GFP_BAR_004,0,U2OS_XPG_4h_BR3
14,T,GFP_BAR_004,0,U2OS_XPG_4h_BR3
15,del,GFP_BAR_004,0,U2OS_XPG_4h_BR3
16,del_mh,GFP_BAR_004,0,U2OS_XPG_4h_BR3
17,del_nomh,GFP_BAR_004,0,U2OS_XPG_4h_BR3
18,ins,GFP_BAR_004,0,U2OS_XPG_4h_BR3
19,repaired,GFP_BAR_004,0,U2OS_XPG_4h_BR3
20,total,GFP_BAR_004,82,U2OS_XPG_4h_BR3
21,unrepaired,GFP_BAR_004,0,U2OS_XPG_4h_BR3
22,A,GFP_BAR_005,14,U2OS_XPG_4h_BR3
23,C,GFP_BAR_005,12961,U2OS_XPG_4h_BR3
24,G,GFP_BAR_005,3,U2OS_XPG_4h_BR3
25,T,GFP_BAR_005,5584,U2OS_XPG_4h_BR3
26,del,GFP_BAR_005,31,U2OS_XPG_4h_BR3
27,del_mh,GFP_BAR_005,1,U2OS_XPG_4h_BR3
28,del_nomh,GFP_BAR_005,30,U2OS_XPG_4h_BR3
29,ins,GFP_BAR_005,0,U2OS_XPG_4h_BR3
30,repaired,GFP_BAR_005,12961,U2OS_XPG_4h_BR3
31,total,GFP_BAR_005,18593,U2OS_XPG_4h_BR3
32,unrepaired,GFP_BAR_005,5584,U2OS_XPG_4h_BR3
33,A,GFP_BAR_006,893,U2OS_XPG_4h_BR3
34,C,GFP_BAR_006,17100,U2OS_XPG_4h_BR3
35,G,GFP_BAR_006,17,U2OS_XPG_4h_BR3
36,T,GFP_BAR_006,32,U2OS_XPG_4h_BR3
37,del,GFP_BAR_006,71,U2OS_XPG_4h_BR3
38,del_mh,GFP_BAR_006,0,U2OS_XPG_4h_BR3
39,del_nomh,GFP_BAR_006,71,U2OS_XPG_4h_BR3
40,ins,GFP_BAR_006,1,U2OS_XPG_4h_BR3
41,repaired,GFP_BAR_006,17100,U2OS_XPG_4h_BR3
42,total,GFP_BAR_006,18113,U2OS_XPG_4h_BR3
43,unrepaired,GFP_BAR_006,893,U2OS_XPG_4h_BR3
44,A,GFP_BAR_007,11,U2OS_XPG_4h_BR3
45,C,GFP_BAR_007,30,U2OS_XPG_4h_BR3
46,G,GFP_BAR_007,5138,U2OS_XPG_4h_BR3
47,T,GFP_BAR_007,2103,U2OS_XPG_4h_BR3
48,del,GFP_BAR_007,276,U2OS_XPG_4h_BR3
49,del_mh,GFP_BAR_007,0,U2OS_XPG_4h_BR3
50,del_nomh,GFP_BAR_007,276,U2OS_XPG_4h_BR3
51,ins,GFP_BAR_007,3,U2OS_XPG_4h_BR3
52,repaired,GFP_BAR_007,5138,U2OS_XPG_4h_BR3
53,total,GFP_BAR_007,7558,U2OS_XPG_4h_BR3
54,unrepaired,GFP_BAR_007,2103,U2OS_XPG_4h_BR3
55,A,GFP_BAR_008,43,U2OS_XPG_4h_BR3
56,C,GFP_BAR_008,1,U2OS_XPG_4h_BR3
57,G,GFP_BAR_008,22230,U2OS_XPG_4h_BR3
58,T,GFP_BAR_008,5,U2OS_XPG_4h_BR3
59,del,GFP_BAR_008,29,U2OS_XPG_4h_BR3
60,del_mh,GFP_BAR_008,3,U2OS_XPG_4h_BR3
61,del_nomh,GFP_BAR_008,26,U2OS_XPG_4h_BR3
62,ins,GFP_BAR_008,0,U2OS_XPG_4h_BR3
63,repaired,GFP_BAR_008,22230,U2OS_XPG_4h_BR3
64,total,GFP_BAR_008,22308,U2OS_XPG_4h_BR3
65,unrepaired,GFP_BAR_008,43,U2OS_XPG_4h_BR3
66,A,GFP_BAR_009,23,U2OS_XPG_4h_BR3
67,C,GFP_BAR_009,9352,U2OS_XPG_4h_BR3
68,G,GFP_BAR_009,45,U2OS_XPG_4h_BR3
69,T,GFP_BAR_009,15055,U2OS_XPG_4h_BR3
70,del,GFP_BAR_009,348,U2OS_XPG_4h_BR3
71,del_mh,GFP_BAR_009,4,U2OS_XPG_4h_BR3
72,del_nomh,GFP_BAR_009,344,U2OS_XPG_4h_BR3
73,ins,GFP_BAR_009,0,U2OS_XPG_4h_BR3
74,repaired,GFP_BAR_009,15055,U2OS_XPG_4h_BR3
75,total,GFP_BAR_009,24823,U2OS_XPG_4h_BR3
76,unrepaired,GFP_BAR_009,9352,U2OS_XPG_4h_BR3
77,A,GFP_BAR_010,0,U2OS_XPG_4h_BR3
78,C,GFP_BAR_010,0,U2OS_XPG_4h_BR3
79,G,GFP_BAR_010,0,U2OS_XPG_4h_BR3
80,T,GFP_BAR_010,0,U2OS_XPG_4h_BR3
81,del,GFP_BAR_010,0,U2OS_XPG_4h_BR3
82,del_mh,GFP_BAR_010,0,U2OS_XPG_4h_BR3
83,del_nomh,GFP_BAR_010,0,U2OS_XPG_4h_BR3
84,ins,GFP_BAR_010,0,U2OS_XPG_4h_BR3
85,repaired,GFP_BAR_010,0,U2OS_XPG_4h_BR3
86,total,GFP_BAR_010,9082,U2OS_XPG_4h_BR3
87,unrepaired,GFP_BAR_010,0,U2OS_XPG_4h_BR3
88,A,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR3
89,C,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR3
90,G,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR3
91,T,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR3
92,del,GFP_BAR_DSBR_2,1905,U2OS_XPG_4h_BR3
93,del_mh,GFP_BAR_DSBR_2,316,U2OS_XPG_4h_BR3
94,del_nomh,GFP_BAR_DSBR_2,1589,U2OS_XPG_4h_BR3
95,ins,GFP_BAR_DSBR_2,44,U2OS_XPG_4h_BR3
96,repaired,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR3
97,total,GFP_BAR_DSBR_2,34198,U2OS_XPG_4h_BR3
98,unrepaired,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR3
99,A,GFP_BAR_003,0,U2OSPatty_WT_1h_BR2
100,C,GFP_BAR_003,7660,U2OSPatty_WT_1h_BR2
101,G,GFP_BAR_003,406,U2OSPatty_WT_1h_BR2
102,T,GFP_BAR_003,4,U2OSPatty_WT_1h_BR2
103,del,GFP_BAR_003,2,U2OSPatty_WT_1h_BR2
104,del_mh,GFP_BAR_003,0,U2OSPatty_WT_1h_BR2
105,del_nomh,GFP_BAR_003,2,U2OSPatty_WT_1h_BR2
106,ins,GFP_BAR_003,0,U2OSPatty_WT_1h_BR2
107,repaired,GFP_BAR_003,406,U2OSPatty_WT_1h_BR2
108,total,GFP_BAR_003,8072,U2OSPatty_WT_1h_BR2
109,unrepaired,GFP_BAR_003,7660,U2OSPatty_WT_1h_BR2
110,A,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
111,C,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
112,G,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
113,T,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
114,del,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
115,del_mh,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
116,del_nomh,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
117,ins,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
118,repaired,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
119,total,GFP_BAR_004,895,U2OSPatty_WT_1h_BR2
120,unrepaired,GFP_BAR_004,0,U2OSPatty_WT_1h_BR2
121,A,GFP_BAR_005,8,U2OSPatty_WT_1h_BR2
122,C,GFP_BAR_005,4718,U2OSPatty_WT_1h_BR2
123,G,GFP_BAR_005,4,U2OSPatty_WT_1h_BR2
124,T,GFP_BAR_005,5515,U2OSPatty_WT_1h_BR2
125,del,GFP_BAR_005,9,U2OSPatty_WT_1h_BR2
126,del_mh,GFP_BAR_005,0,U2OSPatty_WT_1h_BR2
127,del_nomh,GFP_BAR_005,9,U2OSPatty_WT_1h_BR2
128,ins,GFP_BAR_005,2,U2OSPatty_WT_1h_BR2
129,repaired,GFP_BAR_005,4718,U2OSPatty_WT_1h_BR2
130,total,GFP_BAR_005,10254,U2OSPatty_WT_1h_BR2
131,unrepaired,GFP_BAR_005,5515,U2OSPatty_WT_1h_BR2
132,A,GFP_BAR_006,1189,U2OSPatty_WT_1h_BR2
133,C,GFP_BAR_006,8022,U2OSPatty_WT_1h_BR2
134,G,GFP_BAR_006,8,U2OSPatty_WT_1h_BR2
135,T,GFP_BAR_006,23,U2OSPatty_WT_1h_BR2
136,del,GFP_BAR_006,43,U2OSPatty_WT_1h_BR2
137,del_mh,GFP_BAR_006,1,U2OSPatty_WT_1h_BR2
138,del_nomh,GFP_BAR_006,42,U2OSPatty_WT_1h_BR2
139,ins,GFP_BAR_006,0,U2OSPatty_WT_1h_BR2
140,repaired,GFP_BAR_006,8022,U2OSPatty_WT_1h_BR2
141,total,GFP_BAR_006,9285,U2OSPatty_WT_1h_BR2
142,unrepaired,GFP_BAR_006,1189,U2OSPatty_WT_1h_BR2
143,A,GFP_BAR_007,8,U2OSPatty_WT_1h_BR2
144,C,GFP_BAR_007,20,U2OSPatty_WT_1h_BR2
145,G,GFP_BAR_007,824,U2OSPatty_WT_1h_BR2
146,T,GFP_BAR_007,1579,U2OSPatty_WT_1h_BR2
147,del,GFP_BAR_007,150,U2OSPatty_WT_1h_BR2
148,del_mh,GFP_BAR_007,0,U2OSPatty_WT_1h_BR2
149,del_nomh,GFP_BAR_007,150,U2OSPatty_WT_1h_BR2
150,ins,GFP_BAR_007,1,U2OSPatty_WT_1h_BR2
151,repaired,GFP_BAR_007,824,U2OSPatty_WT_1h_BR2
