cell_line,BER_8oxoG_C,BER_A_8oxoG,BER_Hx,BER_UG,DR_O6MeG,MMR,NER,NHEJ,Tumor Type
143B,0.9320558498893523,0.7418522956335127,0.8929394765522907,0.9969103716371659,0.2583204603725728,0.2531818004337582,0.13249853253364563,0.9986254572868347,Osteosarcoma
ALLSIL,0.8843517974757149,0.7383866968031313,0.8665218680666762,0.997283900370693,0.22327020012520388,0.31916620848703975,0.11175164580345154,0.8647298216819763,T-Lymphoblastic Leukemia/Lymphoma
C8166,0.8869404450967587,0.48812699186828257,0.8465439721033842,0.9934238087479303,0.8251836197861583,0.141176379337278,0.10244880616664886,0.9613156914710999,Non-Cancerous
CHLA06ATRT,0.9189557918266634,0.555846405201803,0.934949712770827,0.9851739458858423,0.942229770668763,0.12527046525309857,0.08737406134605408,1.5117294788360596,Embryonal Tumor
DND41,0.8836934217972447,0.6921162246593671,0.8608253784045227,0.9959556492101407,0.9627013964038018,0.016413768974998924,0.0936875194311142,1.1331865787506104,T-Lymphoblastic Leukemia/Lymphoma
JM1,0.841487141604646,0.5199522270389333,0.8109186819480027,0.9818172332167561,0.8594717989355795,0.3301149892378294,0.06784562021493912,0.49546554684638977,B-Cell Acute Lymphoblastic Leukemia
JURKAT,0.9193387954810589,0.6518921628728381,0.8958661313971662,0.9954391408857671,0.9470302792128596,0.01391443584545531,0.0808693915605545,1.1175084114074707,T-Lymphoblastic Leukemia/Lymphoma
KHM1B,0.9238795893537431,0.5610221495419598,0.8608507767054209,0.9892366858802621,0.19832909881505903,0.15383926315109914,0.07570582628250122,0.959270715713501,Mature B-Cell Neoplasms
NALM6,0.8193479553404944,0.6378669411673243,0.8982441243912015,0.9918766145250354,0.9743535986983145,0.012891958398041418,0.13459540903568268,0.5594525933265686,B-Cell Acute Lymphoblastic Leukemia
PF382,0.8278223281195227,0.6317005362794093,0.7836801061871871,0.9913029929821802,0.9750923437142766,0.034941326532099554,0.17980532348155975,0.664069652557373,T-Lymphoblastic Leukemia/Lymphoma
RH30,0.8808153042797991,0.6017178201666482,0.8603129177785547,0.9786243028060959,0.16819171992672946,0.17486393088224947,0.026301439851522446,1.0353788137435913,Rhabdomyosarcoma
SAOS2,0.8876464259031241,0.4272111713093572,0.8324192881685591,0.9876293475529446,0.28611730962907306,0.14725605818327753,0.03456548601388931,1.3944567441940308,Osteosarcoma
SUPT11,0.7677846632251689,0.4701102643593092,0.9132512815403597,0.9792801573358216,0.9517234640561814,0.2926999523115588,0.15049973130226135,0.4815230369567871,T-Lymphoblastic Leukemia/Lymphoma
TE617T,0.9325653920158384,0.6249885247742275,0.9549601492317641,0.9857889393370737,0.9646796449217058,0.10221543250780801,0.16784821450710297,1.1788076162338257,Rhabdomyosarcoma
