,cell_line,cycling_subset,MMR
0,143B,G0/G1,0.1646007683458781
1,143B,S/G2/M,0.2953632442851297
2,ALLSIL,G0/G1,0.25244162922198543
3,ALLSIL,S/G2/M,0.33251112434005065
4,C8166,G0/G1,0.0802914223779976
5,C8166,S/G2/M,0.16200544356018973
6,CHLA06ATRT,G0/G1,0.10013561184575094
7,CHLA06ATRT,S/G2/M,0.19229674100602556
10,EOL1,G0/G1,0.02127659574468085
11,EOL1,S/G2/M,0.3787878787878788
12,HAP1,G0/G1,0.0
13,HAP1,S/G2/M,0.18304957189399948
14,HELA,G0/G1,0.08433501499954828
15,HELA,S/G2/M,0.15091002426260489
16,JM1,G0/G1,0.20366117918121104
17,JM1,S/G2/M,0.36063832269977175
21,KHM1B,S/G2/M,0.15383926315109914
26,RH30,G0/G1,0.07900452128091687
27,RH30,S/G2/M,0.2627350563501377
28,SAOS2,G0/G1,0.10065029371358021
29,SAOS2,S/G2/M,0.24842466886140102
31,SUPT11,S/G2/M,0.2926999523115588
32,TE617T,G0/G1,0.0847966895174342
33,TE617T,S/G2/M,0.1273758390494591
34,TK6_ATCC,G0/G1,0.11383721763255314
35,TK6_ATCC,S/G2/M,0.20635677720041679
36,U2OS,G0/G1,0.08395973205718685
37,U2OS,S/G2/M,0.208692727256601
