,TE617T,ALLSIL,SUPT11,JM1,EOL1,C8166,U2OS,SAOS2,KHM1B,RH30,PF382,NALM6,DND41,JURKAT,143B,CHLA06ATRT,HELA,HAP1
143B,0.45832689901467316,0.7345954656029905,0.6440944405135909,0.6971066999440119,0.593423102025157,0.559986226921825,0.3258821595338548,0.321889216195666,0.6826006787321834,0.37907812269159813,0.6777875614337141,0.6620758379541388,0.6740109179187752,0.6316802802775195,0.11056822599734928,0.37588605979810397,0.3027221145421106,0.3431296442982529
ALLSIL,0.76471627814619,0.1064961831162119,0.33852596670340473,0.525217453528652,0.42390889298624435,0.4727963336131952,0.7084718209709402,0.7457373289539262,0.5612779605794374,0.6629136218892381,0.22390832649151293,0.5156583914965756,0.22854046859963295,0.26073240646688567,0.6904826081801694,0.6872755193263882,0.7221758880737379,0.6156619785162714
C8166,0.6599391078797587,0.5610175522344871,0.506406751068001,0.5505115476013522,0.4136030711728179,0.09490587399974693,0.5692744249592498,0.5880530209556578,0.4542559166428186,0.5862411016031359,0.5850979605493698,0.5810881677987348,0.562056436732453,0.5538438431246329,0.5322213124229648,0.5342754029030765,0.5390073752430087,0.5334176304216305
CHLA06ATRT,0.42610228065626354,0.759736563781252,0.6389265868673595,0.7289976357871175,0.6846903437649214,0.5542546548385877,0.3637434382292011,0.31520055897866206,0.6928684985154758,0.3765082794964991,0.7113914007685643,0.7274676949911221,0.7103519102915425,0.667123487027626,0.34586839737038944,0.12330920366997422,0.3473598718623754,0.40159517278176327
DND41,0.7356974623857578,0.22391386631935173,0.39460184718749347,0.4582098515861157,0.4620876833446341,0.5402583803138625,0.6888464657173398,0.6946092016446621,0.5739666969523918,0.6328618620115174,0.22831363575050367,0.44154653360483276,0.12387131202044355,0.24470209790391084,0.6569892535952593,0.6819173618387411,0.7167591181581895,0.5699092247029923
EOL1,0.670070911519763,0.5271569453414104,0.5118327188859231,0.5278013585511617,0.18187793085136117,0.35309086069379525,0.6336399114834912,0.6380746337922057,0.5043792303898031,0.6291366347546057,0.5615706839836863,0.5213909037771014,0.5308249654457056,0.5539094905900126,0.574178809637949,0.6099687394035196,0.545655662875784,0.5825608512644853
HAP1,0.3400997062087814,0.7147158006973318,0.5896447430892907,0.6479532084967901,0.6100287994401561,0.5714078063229183,0.3861092042181068,0.3288475357858358,0.6734171614492838,0.39390532758607344,0.6166032606556011,0.6548189592333997,0.6601399084746131,0.5919504959875714,0.3148363208987752,0.3907294250607669,0.35521313927612685,0.14028241895315985
HELA,0.4605057849424916,0.74151263247487,0.6365324112618651,0.7392572524292258,0.5989327564332048,0.5408540467676268,0.373240643790797,0.30712313602982344,0.6669225444834808,0.4002009010341063,0.7155950641791842,0.6866244310748186,0.7065440467888604,0.6805341550489732,0.2686281321659647,0.39106772898835807,0.15044541706475623,0.3873898297091165
JM1,0.7382930638461039,0.5384566744796913,0.5605379499470196,0.11250871082779301,0.43028611333297295,0.5041286319894667,0.7530597290130003,0.7256983543777389,0.46918862121938887,0.6961158261456291,0.522514214172539,0.27502131780322137,0.4719047322657053,0.4768112151682079,0.6823888368916479,0.6788539489926098,0.72939941740555,0.57736885949026
JURKAT,0.6447566520823065,0.25760406560109406,0.37512883731857694,0.46221351128480825,0.4374414947187618,0.5095463190601637,0.5880622416238528,0.6222511842620371,0.579886868245316,0.56591023351579,0.17674576036522371,0.45253349690752886,0.28820008548713827,0.10411473680419925,0.5620062178953917,0.6098298168615404,0.6473393421760483,0.4897924627138278
KHM1B,0.6500290225753602,0.5698857065826739,0.5908200096904443,0.4471444848565199,0.42808474551758047,0.3682122286178692,0.6004346775752478,0.6196510055093829,0.1189338206922188,0.6378985025964881,0.5907232025540905,0.4825397479791652,0.5504017737324144,0.5466614137326116,0.5792480843831723,0.5923348126778177,0.5717507285122665,0.5379594204413418
NALM6,0.7452319688501581,0.4978867579407261,0.581383528386101,0.2646848496569356,0.412371992162623,0.516932858377507,0.6532088191071552,0.6907030798398006,0.5129386209185298,0.6222524861455979,0.48982594906262056,0.10305314095890161,0.44009180182840335,0.4372944719605315,0.6223611012069645,0.6712012869609439,0.6890248533883456,0.5945113152694044
PF382,0.6794643783565637,0.23177470248449528,0.36449075170477807,0.47809099026301716,0.45641171294742433,0.5492416814249967,0.640090314447404,0.6544425926310704,0.6018826008108746,0.6193971196806605,0.11717135444436266,0.4794765966711939,0.25839388703793764,0.15605544455613374,0.5977152205527059,0.642567379793167,0.6768334369010697,0.4947089649914076
RH30,0.48577454598795133,0.6827141269880816,0.6193056727329371,0.7119586990866607,0.6263066817886953,0.5962643655315827,0.35644329295616384,0.3184519095268331,0.6994938451741558,0.10069402936803051,0.6469640754903363,0.643297223025783,0.6385476144454488,0.6020202526746339,0.36021475529629043,0.4012781639111256,0.3694517380767651,0.4099346320793755
